20201101 183900;1.164280;1.164290;1.164170;1.164170;0
20201101 184000;1.164180;1.164190;1.164130;1.164140;0
20201101 184100;1.164140;1.164180;1.163980;1.164000;0
20201101 184200;1.164000;1.164030;1.163990;1.164010;0
20201101 184300;1.164020;1.164060;1.163990;1.164030;0
20201101 184400;1.164020;1.164030;1.163990;1.164000;0
20201101 184500;1.164000;1.164020;1.163970;1.163990;0
20201101 184600;1.163970;1.163990;1.163860;1.163900;0
20201101 184700;1.163900;1.163920;1.163880;1.163880;0
20201101 184800;1.163880;1.163950;1.163870;1.163940;0
20201101 184900;1.163930;1.164060;1.163930;1.164040;0
20201101 185000;1.164030;1.164100;1.163990;1.163990;0
20201101 185100;1.164010;1.164030;1.163910;1.163930;0
20201101 185200;1.163920;1.164000;1.163910;1.163920;0
20201101 185300;1.163920;1.163950;1.163890;1.163940;0
20201101 185400;1.163950;1.164010;1.163930;1.164000;0
20201101 185500;1.164000;1.164080;1.163990;1.164070;0
20201101 185600;1.164070;1.164090;1.164020;1.164050;0
20201101 185700;1.164060;1.164160;1.164050;1.164150;0
20201101 185800;1.164140;1.164160;1.164120;1.164130;0
20201101 185900;1.164140;1.164160;1.164100;1.164160;0
20201101 190000;1.164150;1.164240;1.164120;1.164190;0
20201101 190100;1.164200;1.164200;1.164090;1.164100;0
20201101 190200;1.164110;1.164210;1.164090;1.164200;0
20201101 190300;1.164220;1.164570;1.164220;1.164540;0
20201101 190400;1.164540;1.164660;1.164400;1.164430;0
20201101 190500;1.164440;1.164440;1.164290;1.164350;0
20201101 190600;1.164340;1.164370;1.164240;1.164290;0
20201101 190700;1.164300;1.164350;1.164250;1.164290;0
20201101 190800;1.164280;1.164300;1.164190;1.164250;0
20201101 190900;1.164240;1.164420;1.164240;1.164340;0
20201101 191000;1.164350;1.164420;1.164200;1.164210;0
20201101 191100;1.164230;1.164250;1.164160;1.164230;0
20201101 191200;1.164220;1.164310;1.164160;1.164310;0
20201101 191300;1.164290;1.164320;1.164250;1.164260;0
20201101 191400;1.164260;1.164280;1.164200;1.164210;0
20201101 191500;1.164220;1.164310;1.164220;1.164300;0
20201101 191600;1.164280;1.164400;1.164240;1.164390;0
20201101 191700;1.164380;1.164460;1.164300;1.164330;0
20201101 191800;1.164350;1.164430;1.164290;1.164390;0
20201101 191900;1.164400;1.164440;1.164310;1.164310;0
20201101 192000;1.164310;1.164360;1.163980;1.164040;0
20201101 192100;1.164050;1.164290;1.164050;1.164230;0
20201101 192200;1.164240;1.164250;1.164180;1.164230;0
20201101 192300;1.164220;1.164230;1.164140;1.164190;0
20201101 192400;1.164200;1.164220;1.164040;1.164100;0
20201101 192500;1.164090;1.164120;1.163990;1.164010;0
20201101 192600;1.164010;1.164090;1.164010;1.164060;0
20201101 192700;1.164050;1.164100;1.164050;1.164100;0
20201101 192800;1.164090;1.164090;1.163960;1.163990;0
20201101 192900;1.164010;1.164080;1.163990;1.164080;0
20201101 193000;1.164070;1.164170;1.164050;1.164100;0
20201101 193100;1.164110;1.164160;1.164100;1.164160;0
20201101 193200;1.164130;1.164130;1.163970;1.163990;0
20201101 193300;1.164000;1.164040;1.163880;1.163900;0
20201101 193400;1.163890;1.163990;1.163890;1.163970;0
20201101 193500;1.163980;1.164030;1.163890;1.163940;0
20201101 193600;1.163930;1.163950;1.163890;1.163910;0
20201101 193700;1.163920;1.163930;1.163870;1.163880;0
20201101 193800;1.163880;1.163890;1.163860;1.163890;0
20201101 193900;1.163890;1.164020;1.163870;1.163970;0
20201101 194000;1.163970;1.164000;1.163930;1.163990;0
20201101 194100;1.164000;1.164050;1.163980;1.164000;0
20201101 194200;1.163990;1.164010;1.163900;1.163940;0
20201101 194300;1.163940;1.163940;1.163860;1.163890;0
20201101 194400;1.163900;1.163900;1.163850;1.163860;0
20201101 194500;1.163850;1.163870;1.163810;1.163840;0
20201101 194600;1.163830;1.163850;1.163800;1.163840;0
20201101 194700;1.163820;1.163850;1.163790;1.163850;0
20201101 194800;1.163840;1.163860;1.163800;1.163840;0
20201101 194900;1.163840;1.163960;1.163840;1.163920;0
20201101 195000;1.163930;1.163950;1.163880;1.163920;0
20201101 195100;1.163920;1.164000;1.163920;1.163970;0
20201101 195200;1.163960;1.164010;1.163840;1.163870;0
20201101 195300;1.163860;1.163860;1.163770;1.163790;0
20201101 195400;1.163790;1.164270;1.163790;1.164210;0
20201101 195500;1.164200;1.164310;1.164140;1.164290;0
20201101 195600;1.164300;1.164320;1.164240;1.164290;0
20201101 195700;1.164300;1.164300;1.164200;1.164210;0
20201101 195800;1.164210;1.164260;1.164160;1.164180;0
20201101 195900;1.164190;1.164190;1.164020;1.164160;0
20201101 200000;1.164160;1.164160;1.163980;1.164000;0
20201101 200100;1.164000;1.164080;1.163980;1.164080;0
20201101 200200;1.164080;1.164260;1.164080;1.164250;0
20201101 200300;1.164240;1.164260;1.164120;1.164140;0
20201101 200400;1.164130;1.164190;1.164090;1.164170;0
20201101 200500;1.164150;1.164400;1.164140;1.164350;0
20201101 200600;1.164370;1.164480;1.164300;1.164300;0
20201101 200700;1.164310;1.164360;1.164300;1.164350;0
20201101 200800;1.164340;1.164400;1.164330;1.164390;0
20201101 200900;1.164390;1.164440;1.164290;1.164410;0
20201101 201000;1.164410;1.164640;1.164410;1.164600;0
20201101 201100;1.164610;1.164800;1.164610;1.164730;0
20201101 201200;1.164730;1.164760;1.164650;1.164650;0
20201101 201300;1.164650;1.164740;1.164650;1.164690;0
20201101 201400;1.164700;1.164800;1.164650;1.164770;0
20201101 201500;1.164770;1.164810;1.164680;1.164680;0
20201101 201600;1.164680;1.164790;1.164660;1.164710;0
20201101 201700;1.164730;1.164790;1.164670;1.164740;0
20201101 201800;1.164730;1.164870;1.164730;1.164820;0
20201101 201900;1.164820;1.164850;1.164740;1.164740;0
20201101 202000;1.164750;1.164800;1.164650;1.164650;0
20201101 202100;1.164650;1.164670;1.164630;1.164640;0
20201101 202200;1.164650;1.164780;1.164640;1.164680;0
20201101 202300;1.164690;1.164700;1.164630;1.164630;0
20201101 202400;1.164630;1.164630;1.164470;1.164480;0
20201101 202500;1.164490;1.164490;1.164480;1.164490;0
20201101 202600;1.164490;1.164540;1.164400;1.164400;0
20201101 202700;1.164390;1.164450;1.164280;1.164450;0
20201101 202800;1.164440;1.164440;1.164250;1.164280;0
20201101 202900;1.164270;1.164340;1.164240;1.164240;0
20201101 203000;1.164250;1.164470;1.164230;1.164380;0
20201101 203100;1.164370;1.164370;1.164270;1.164350;0
20201101 203200;1.164340;1.164340;1.164150;1.164180;0
20201101 203300;1.164190;1.164250;1.164180;1.164230;0
20201101 203400;1.164220;1.164250;1.164190;1.164200;0
20201101 203500;1.164200;1.164410;1.164200;1.164390;0
20201101 203600;1.164390;1.164490;1.164370;1.164390;0
20201101 203700;1.164390;1.164440;1.164370;1.164370;0
20201101 203800;1.164360;1.164400;1.164280;1.164290;0
